
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
44:48:C1:E1:12:80, 2023-08-28 10:12:09, 2023-08-28 10:12:20,  1, 195, WPA2, CCMP, PSK, -91,        3,        8,   0.  0.  0.  0,   8, CU_JAMMU, 
44:48:C1:E1:02:20, 2023-08-28 10:12:11, 2023-08-28 10:12:23,  6, 195, WPA2, CCMP, PSK, -64,       13,       40,   0.  0.  0.  0,   8, CU_JAMMU, 
44:48:C1:E1:0B:E0, 2023-08-28 10:12:16, 2023-08-28 10:12:23,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
72:E5:0D:76:C4:07, 2023-08-28 10:12:15, 2023-08-28 10:12:16, -91,        2, (not associated) ,
1A:27:F0:B0:C6:1F, 2023-08-28 10:12:14, 2023-08-28 10:12:14, -90,        2, (not associated) ,
D6:CD:08:13:AD:55, 2023-08-28 10:12:12, 2023-08-28 10:12:16, -90,       19, 44:48:C1:E1:0B:E0,
7A:5C:72:9D:90:01, 2023-08-28 10:12:12, 2023-08-28 10:12:19, -90,        2, 44:48:C1:E1:02:20,
36:1C:F0:90:8C:48, 2023-08-28 10:12:20, 2023-08-28 10:12:20, -90,        2, (not associated) ,
F6:F9:DF:A6:4D:D5, 2023-08-28 10:12:13, 2023-08-28 10:12:13, -89,        1, (not associated) ,
C6:47:4A:5E:F8:F4, 2023-08-28 10:12:13, 2023-08-28 10:12:13, -88,        2, (not associated) ,
38:D5:7A:36:2B:65, 2023-08-28 10:12:10, 2023-08-28 10:12:17, -86,       21, (not associated) ,CU_JAMMU
00:0C:E7:0E:B7:88, 2023-08-28 10:12:11, 2023-08-28 10:12:11, -85,        2, (not associated) ,
F2:07:B3:CA:88:56, 2023-08-28 10:12:12, 2023-08-28 10:12:24, -82,       12, 44:48:C1:E1:02:20,CU_JAMMU
F6:E8:A7:97:F6:27, 2023-08-28 10:12:19, 2023-08-28 10:12:19, -80,        1, (not associated) ,CU_JAMMU
E0:CC:F8:46:3B:46, 2023-08-28 10:12:11, 2023-08-28 10:12:16, -77,        6, 44:48:C1:E1:02:20,CU_JAMMU
98:59:7A:E3:BC:EB, 2023-08-28 10:12:12, 2023-08-28 10:12:23, -71,        8, 44:48:C1:E1:02:20,
2C:D0:66:DC:DD:0B, 2023-08-28 10:12:12, 2023-08-28 10:12:16, -25,       18, 44:48:C1:E1:02:20,CU_JAMMU,AndroidShare_3918
00:0C:E7:22:07:6A, 2023-08-28 10:12:21, 2023-08-28 10:12:21, -90,        4, (not associated) ,
62:CE:CB:EC:22:5C, 2023-08-28 10:12:22, 2023-08-28 10:12:22, -88,        3, (not associated) ,SBS 2,vivo 1915
02:00:00:00:00:00, 2023-08-28 10:12:22, 2023-08-28 10:12:22, -89,        4, (not associated) ,Admin,saddam
7C:78:7E:93:AC:A8, 2023-08-28 10:12:23, 2023-08-28 10:12:23, -91,        1, (not associated) ,CU_JAMMU
36:21:DB:7D:92:BC, 2023-08-28 10:12:23, 2023-08-28 10:12:23, -91,       21, 44:48:C1:E1:0B:E0,

